Product_ID,Product_Name,Category,Brand,Original_Price,Discount_Percent,Discount_Amount,Selling_Price,Stock_Quantity,Weight_kg,Avg_Rating,Total_Reviews
PROD000001,Samsung Mobile V5,Electronics,Samsung,130561.34,23,30029.11,100532.23,159,2.63,4.49,102
PROD000002,HP Laptop V5,Electronics,HP,36494.92,34,12408.27,24086.65,54,4.19,4.32,107
PROD000003,boAt Headphones V2,Electronics,boAt,106587.94,42,44766.93,61821.01,638,1.48,4.31,99
PROD000004,Noise Watch V7,Electronics,Noise,81275.27,47,38199.38,43075.89,572,3.3,4.42,127
PROD000005,Apple iPhone V4,Electronics,Apple,13099.36,43,5632.72,7466.64,865,3.71,4.37,98
PROD000006,Levis Jeans V1,Fashion,Levis,3330.44,9,299.74,3030.7,380,2.64,4.47,81
PROD000007,Peter England Shirt V8,Fashion,Peter,7504.54,12,900.54,6604,800,2.12,4.37,82
PROD000008,Nike Shoes V2,Fashion,Nike,7210.81,38,2740.11,4470.7,321,1.71,4.29,104
PROD000009,Titan Watch V10,Fashion,Titan,8545.82,48,4101.99,4443.83,266,0.82,4.52,94
PROD000010,Puma T-shirt V7,Fashion,Puma,12528.96,35,4385.14,8143.82,834,3.12,4.37,89
PROD000011,IKEA Chair V1,Home,IKEA,13189.01,43,5671.27,7517.74,42,2.34,4.4,43
PROD000012,Prestige Cooker V1,Home,Prestige,996.52,32,318.89,677.63,163,3.68,4.43,56
PROD000013,Philips Mixer V4,Home,Philips,29812.39,40,11924.96,17887.43,177,4.68,4.31,61
PROD000014,Godrej Almirah V7,Home,Godrej,14780.06,39,5764.22,9015.84,622,3.93,4.37,62
PROD000015,Urban Ladder Sofa V3,Home,Urban,43563.53,46,20039.22,23524.31,504,2.97,4.4,63
PROD000016,Lakme Lipstick V4,Beauty,Lakme,3116.2,23,716.73,2399.47,417,0.97,4.53,32
PROD000017,Mamaearth Facewash V10,Beauty,Mamaearth,4175.92,15,626.39,3549.53,308,1.69,4.37,27
PROD000018,Nivea Cream V5,Beauty,Nivea,2052.64,5,102.63,1950.01,931,1.77,4.31,32
PROD000019,Dove Soap V5,Beauty,Dove,910.85,36,327.91,582.94,399,1.65,4.5,34
PROD000020,Plum Serum V5,Beauty,Plum,2754.12,16,440.66,2313.46,301,4.7,4.28,18
PROD000021,Nike T-shirt V3,Sports,Nike,26796.81,37,9914.82,16881.99,961,2.94,4.51,55
PROD000022,Puma Shoes V5,Sports,Puma,9771.64,46,4494.95,5276.69,660,3.03,4.59,44
PROD000023,Decathlon Cycle V2,Sports,Decathlon,2277.36,43,979.26,1298.1,375,2.5,4.35,43
PROD000024,Yoga Mat V7,Sports,Yoga,8685.1,10,868.51,7816.59,559,1.42,4.35,55
PROD000025,Dumbbells V1,Sports,Dumbbells,21725.03,27,5865.76,15859.27,278,1.22,4.54,50
PROD000026,Fiction Novel V7,Books,Fiction,554.49,14,77.63,476.86,635,3.89,4.42,36
PROD000027,NCERT Book V7,Books,NCERT,1171.78,22,257.79,913.99,201,4.66,4.46,35
PROD000028,Comics V10,Books,Comics,422.31,5,21.12,401.19,225,3.89,4.5,30
PROD000029,Notebook V5,Books,Notebook,382.36,7,26.77,355.59,99,1.74,4.4,30
PROD000030,Stationery Set V7,Books,Stationery,1554.83,21,326.51,1228.32,251,3.48,4.19,32
PROD000031,Aashirvaad Atta V6,Grocery,Aashirvaad,434.9,7,30.44,404.46,880,3.16,4.6,50
PROD000032,Fortune Oil V4,Grocery,Fortune,793.26,27,214.18,579.08,58,2.02,4.41,58
PROD000033,Lays Chips V8,Grocery,Lays,870.97,13,113.23,757.74,193,3.93,4.3,69
PROD000034,Nescafe Coffee V1,Grocery,Nescafe,1956.17,45,880.28,1075.89,713,3.2,4.17,59
PROD000035,Haldiram Snacks V1,Grocery,Haldiram,1113.34,21,233.8,879.54,803,3.47,4.35,46
PROD000036,Samsung Mobile V4,Electronics,Samsung,66721.98,6,4003.32,62718.66,586,2.12,4.39,98
PROD000037,HP Laptop V4,Electronics,HP,111479.61,10,11147.96,100331.65,566,2.92,4.34,109
PROD000038,boAt Headphones V2,Electronics,boAt,102185.82,35,35765.04,66420.78,516,4.65,4.5,114
PROD000039,Noise Watch V1,Electronics,Noise,139577.42,20,27915.48,111661.94,794,4.53,4.39,115
PROD000040,Apple iPhone V2,Electronics,Apple,17181.51,6,1030.89,16150.62,547,3.37,4.28,125
PROD000041,Levis Jeans V9,Fashion,Levis,13721.15,33,4527.98,9193.17,230,1.6,4.42,74
PROD000042,Peter England Shirt V9,Fashion,Peter,3599.88,45,1619.95,1979.93,41,0.69,4.33,84
PROD000043,Nike Shoes V9,Fashion,Nike,8701.35,26,2262.35,6439,426,3.48,4.4,67
PROD000044,Titan Watch V10,Fashion,Titan,1698.3,21,356.64,1341.66,600,2.58,4.48,85
PROD000045,Puma T-shirt V3,Fashion,Puma,6682.45,38,2539.33,4143.12,298,0.74,4.49,83
PROD000046,IKEA Chair V1,Home,IKEA,27395.58,12,3287.47,24108.11,561,4.44,4.47,47
PROD000047,Prestige Cooker V4,Home,Prestige,29046.14,50,14523.07,14523.07,788,2.4,4.6,50
PROD000048,Philips Mixer V9,Home,Philips,31603.14,9,2844.28,28758.86,77,4.68,4.38,72
PROD000049,Godrej Almirah V5,Home,Godrej,39094.48,35,13683.07,25411.41,739,4.66,4.42,59
PROD000050,Urban Ladder Sofa V4,Home,Urban,20226.84,13,2629.49,17597.35,940,3.48,4.46,61
PROD000051,Lakme Lipstick V3,Beauty,Lakme,2310.13,18,415.82,1894.31,374,0.72,4.42,26
PROD000052,Mamaearth Facewash V4,Beauty,Mamaearth,1014.85,26,263.86,750.99,545,1.39,4.52,29
PROD000053,Nivea Cream V3,Beauty,Nivea,2072.94,46,953.55,1119.39,130,0.82,4.57,30
PROD000054,Dove Soap V9,Beauty,Dove,2696.99,33,890.01,1806.98,576,2.52,4.38,29
PROD000055,Plum Serum V9,Beauty,Plum,4114.35,42,1728.03,2386.32,904,1.2,4.35,34
PROD000056,Nike T-shirt V6,Sports,Nike,28069.7,39,10947.18,17122.52,381,2.55,4.37,49
PROD000057,Puma Shoes V8,Sports,Puma,10065.26,37,3724.15,6341.11,272,0.62,4.51,57
PROD000058,Decathlon Cycle V10,Sports,Decathlon,27098.08,40,10839.23,16258.85,667,4.64,4.33,48
PROD000059,Yoga Mat V4,Sports,Yoga,5278.69,47,2480.98,2797.71,319,2.56,4.47,51
PROD000060,Dumbbells V1,Sports,Dumbbells,8099.78,13,1052.97,7046.81,892,1.36,4.47,55
PROD000061,Fiction Novel V6,Books,Fiction,1367.86,20,273.57,1094.29,777,0.62,4.43,23
PROD000062,NCERT Book V3,Books,NCERT,588.25,32,188.24,400.01,298,0.64,4.62,29
PROD000063,Comics V8,Books,Comics,891.67,44,392.33,499.34,385,2.63,4.28,36
PROD000064,Notebook V2,Books,Notebook,1822.68,37,674.39,1148.29,33,1.11,4.45,33
PROD000065,Stationery Set V9,Books,Stationery,259.39,14,36.31,223.08,624,4.97,4.42,26
PROD000066,Aashirvaad Atta V4,Grocery,Aashirvaad,2326.75,31,721.29,1605.46,510,2.03,4.38,53
PROD000067,Fortune Oil V2,Grocery,Fortune,78.64,8,6.29,72.35,826,2.34,4.44,52
PROD000068,Lays Chips V10,Grocery,Lays,969.55,9,87.26,882.29,923,0.48,4.32,57
PROD000069,Nescafe Coffee V5,Grocery,Nescafe,2364.64,23,543.87,1820.77,396,4.94,4.54,54
PROD000070,Haldiram Snacks V9,Grocery,Haldiram,2479.49,39,967,1512.49,395,0.32,4.52,60
PROD000071,Samsung Mobile V5,Electronics,Samsung,7758.23,42,3258.46,4499.77,835,3.01,4.43,128
PROD000072,HP Laptop V4,Electronics,HP,70210.68,30,21063.2,49147.48,105,3.3,4.32,114
PROD000073,boAt Headphones V4,Electronics,boAt,106655.74,30,31996.72,74659.02,441,1.55,4.35,92
PROD000074,Noise Watch V7,Electronics,Noise,60907.24,15,9136.09,51771.15,399,4.15,4.44,131
PROD000075,Apple iPhone V8,Electronics,Apple,123095.85,29,35697.8,87398.05,168,2.45,4.39,99
PROD000076,Levis Jeans V5,Fashion,Levis,14594.02,7,1021.58,13572.44,792,4.69,4.55,92
PROD000077,Peter England Shirt V10,Fashion,Peter,6601.21,13,858.16,5743.05,709,1.66,4.29,84
PROD000078,Nike Shoes V9,Fashion,Nike,13127.69,31,4069.58,9058.11,662,2,4.4,83
PROD000079,Titan Watch V4,Fashion,Titan,8303.7,36,2989.33,5314.37,334,3.23,4.2,87
PROD000080,Puma T-shirt V10,Fashion,Puma,3084,13,400.92,2683.08,104,4.71,4.49,86
PROD000081,IKEA Chair V1,Home,IKEA,11413.39,27,3081.62,8331.77,751,0.41,4.53,70
PROD000082,Prestige Cooker V3,Home,Prestige,43607.57,35,15262.65,28344.92,671,2.71,4.23,52
PROD000083,Philips Mixer V3,Home,Philips,49286.1,48,23657.33,25628.77,603,4.65,4.4,60
PROD000084,Godrej Almirah V9,Home,Godrej,43013.71,6,2580.82,40432.89,112,1.63,4.36,73
PROD000085,Urban Ladder Sofa V5,Home,Urban,20362.17,16,3257.95,17104.22,903,4.47,4.24,55
PROD000086,Lakme Lipstick V10,Beauty,Lakme,1107.62,31,343.36,764.26,702,4.82,4.42,26
